time,tag,type,content
2019-03-05 11:38:28,INFO,CWorldBase::init(),
2019-03-05 11:38:28,DEBUG,world::init(),a=1
2019-03-05 11:38:29,DEBUG,calcMd5OfAll.resize_buff,buff_size=1048576
2019-03-05 11:38:30,INFO,calcMd5OfAll,md5=28289e5bae0b343fd69094390666363b
2019-03-05 11:38:30,SCRIPT,INFO,[add_some_package_path.begin]/usr/local/share/lua/5.2/?.lua;/usr/local/share/lua/5.2/?/init.lua;/usr/local/lib/lua/5.2/?.lua;/usr/local/lib/lua/5.2/?/init.lua;./?.lua;/data/server/aion/trunk/scripts/base/?.lua;/data/server/aion/trunk/scripts/base/?.luac;/data/server/aion/trunk/scripts/common/?.lua;/data/server/aion/trunk/scripts/common/?.luac
2019-03-05 11:38:30,SCRIPT,INFO,[add_some_package_path.end]/usr/local/share/lua/5.2/?.lua;/usr/local/share/lua/5.2/?/init.lua;/usr/local/lib/lua/5.2/?.lua;/usr/local/lib/lua/5.2/?/init.lua;./?.lua;/data/server/aion/trunk/scripts/base/?.lua;/data/server/aion/trunk/scripts/base/?.luac;/data/server/aion/trunk/scripts/common/?.lua;/data/server/aion/trunk/scripts/common/?.luac;/data/server/aion/trunk/scripts/common/?.lua;/data/server/aion/trunk/scripts/common/?.luac;/data/server/aion/trunk/scripts/base/mgr/?.lua;/data/server/aion/trunk/scripts/base/mgr/?.luac;/data/server/aion/trunk/scripts/pbmsg/?.lua;/data/server/aion/trunk/scripts/pbmsg/?.luac;/data/server/aion/trunk/scripts/lualib/?.lua;/data/server/aion/trunk/scripts/lualib/?.luac;/data/server/aion/trunk/scripts/lualib/protobuf/?.lua;/data/server/aion/trunk/scripts/lualib/protobuf/?.luac
2019-03-05 11:39:02,SCRIPT,INFO,[onScriptReady]
2019-03-05 11:39:02,SCRIPT,DEBUG,[global_data:set_server_type]server_type=client
2019-03-05 11:39:02,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/role_data.xml
2019-03-05 11:39:02,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/role_level.xml
2019-03-05 11:39:05,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/attri_map.xml
2019-03-05 11:39:06,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/attri_map_level.xml
2019-03-05 11:39:06,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/attri_config.xml
2019-03-05 11:39:06,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/world_map.xml
2019-03-05 11:39:06,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/regional_map.xml
2019-03-05 11:39:06,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/instance.xml
2019-03-05 11:39:06,INFO,_xml_readToDs,/data/server/aion/trunk/scripts/data/xml/map.xml
2019-03-05 11:39:06,SCRIPT,DEBUG,[map_mgr:init_data    1 ]
2019-03-05 11:39:06,SCRIPT,DEBUG,[map_mgr:init_data    2  ]space_name=50003
2019-03-05 11:39:06,SCRIPT,DEBUG,"[map_mgr:init_data    7 ]map_id=50003;space_name=50003;space_table={s013global_params={s009spacename=s00550003,s007mapname=s00540013,s014enter_rotation=45,s011enter_pos_x=7240,s011enter_pos_z=3720,s011enter_pos_y=980},s013base_settings={s009lightmaps={1=s025Lightmap-0_comp_light.exr},s011is_path_fog=1,s013path_fog_mode=1,s021path_fog_end_distance=60,s015camera_near_far={1=0.3,2=62},s014path_fog_color={1=0.1151,2=0.3031,3=0.5220},s009use_unity=0,s018path_ambient_light={1=0.2188,2=0.2788,3=0.6764},s018fog_start_distance=10,s009fog_color={1=0.1151,2=0.3031,3=0.5220},s008fog_mode=1,s016fog_end_distance=60,s006is_fog=1,s013ambient_light={1=0.2188,2=0.2788,3=0.6764},s013staticPrefabs={1=s041Scenes/40013/40013_p/40013_static1.prefab,2=s041Scenes/40013/40013_p/40013_static2.prefab},s023path_fog_start_distance=10},s011id2entities={30002={s012rotation_pos={1=0,2=0,3=0},s005count=1,s009src_event={1=10002},s005pos_x=3861,s007boxSize={1=1,2=1,3=1},s017trigger_event_ids={540002=0,40002=0}"
2019-03-05 11:39:06,SCRIPT,DEBUG,[map_mgr:init_data    2  ]space_name=51001
2019-03-05 11:39:06,SCRIPT,DEBUG,"[map_mgr:init_data    7 ]map_id=50007;space_name=51001;space_table={s013global_params={s009spacename=s00551001,s007mapname=s00530020,s014enter_rotation=97.8877,s011enter_pos_x=2654,s011enter_pos_z=2404,s011enter_pos_y=1139},s013base_settings={s013path_fog_mode=1,s018fog_start_distance=10,s008fog_mode=1,s009lightmaps={1=s025Lightmap-0_comp_light.exr},s011is_path_fog=1,s015camera_near_far={1=0.3,2=53},s014path_fog_color={1=0.1588,2=0.0785,3=0.2426},s009use_unity=0,s006is_fog=1,s021path_fog_end_distance=50,s013staticPrefabs={1=s041Scenes/30020/30020_p/30020_static1.prefab,2=s041Scenes/30020/30020_p/30020_static2.prefab},s006skybox=s023Scenes/Skybox/30009.mat,s016fog_end_distance=50,s018path_ambient_light={1=0.0632,2=0.0431,3=0.3088},s013ambient_light={1=0.0632,2=0.0431,3=0.3088},s009fog_color={1=0.1588,2=0.0785,3=0.2426},s023path_fog_start_distance=10},s011id2entities={70002={s010death_type=3,s004type=s018EntityMonsterDeath,s005pos_x=2192,s004name=s000,s012rotation_pos={1=0,2=9"
2019-03-05 11:39:06,SCRIPT,DEBUG,[map_mgr:init_data    2  ]space_name=31102
2019-03-05 11:39:06,SCRIPT,DEBUG,"[map_mgr:init_data    7 ]map_id=31102;space_name=31102;space_table={s013global_params={s009spacename=s00531102,s007mapname=s00530004,s014enter_rotation=0,s011enter_pos_x=7841,s011enter_pos_z=5038,s011enter_pos_y=3019},s013base_settings={s009lightmaps={1=s025Lightmap-0_comp_light.exr},s011is_path_fog=1,s013path_fog_mode=1,s021path_fog_end_distance=50,s015camera_near_far={1=0.3,2=31},s014path_fog_color={1=0.2867,2=0.1792,3=0.2259},s009use_unity=0,s018path_ambient_light={1=0.1897,2=0.3194,3=0.5735},s018fog_start_distance=10,s009fog_color={1=0.2867,2=0.1792,3=0.2259},s008fog_mode=1,s016fog_end_distance=50,s006is_fog=1,s013ambient_light={1=0.1897,2=0.3194,3=0.5735},s013staticPrefabs={1=s041Scenes/30004/30004_p/30004_static1.prefab,2=s041Scenes/30004/30004_p/30004_static2.prefab},s023path_fog_start_distance=10},s011id2entities={30002={s012rotation_pos={1=0,2=0,3=0},s005count=1,s009src_event={1=10002},s005pos_x=13288,s007boxSize={1=1,2=1,3=1},s017trigger_event_ids={540002=0,40002=0"
2019-03-05 11:39:06,SCRIPT,DEBUG,[map_mgr:init_data    2  ]space_name=31104
