4.5273,-2.9112
7.4529,0.19293
6.2648,1.7492
5.4855,1.2449
3.7298,1.1306
2.0825,-1.3038
4.5541,-0.81852
1.9902,-0.35437
2.5544,0.66082
7.2864,0.45192
7.0818,1.7286
6.3567,1.9128
7.4065,-1.5067
1.4307,-1.5174
4.1403,-0.47594
5.016,-0.83486
7.3055,-1.168
5.3117,-0.011999
3.1135,3.0455
5.9201,1.6729
6.5411,1.8931
4.8028,-3.2217
0.67998,-0.75423
7.3789,-2.6244
0.42878,0.064274
4.2162,-1.2485
0.95083,-2.2646
3.0411,4.2058
6.5027,2.5497
1.9528,-3.5119
7.0754,-1.1817
5.7012,0.68411
3.0252,0.23316
1.9914,-1.7931
2.0228,-0.14584
6.1379,1.7523
0.3989,1.3293
5.4823,-1.0635
4.9622,-2.3111
5.9735,0.27688
7.818,-1.6306
3.0713,1.5281
2.0816,-0.26047
7.0198,1.4322
6.4488,2.9685
3.689,0.88169
0.72769,-0.27368
4.5142,-3.0689
1.4991,-1.8609
4.2535,-0.25575
2.8403,1.3067
2.5183,0.46368
5.8139,1.7983
4.1262,0.08806
6.3252,0.57604
1.6359,-1.7831
5.4248,-0.094894
0.41988,1.1841
6.4094,2.8294
5.4285,-0.64026
7.5681,-2.508
0.73247,0.48735
7.2675,-0.31507
4.0796,-0.8186
4.9192,-1.0352
2.5286,-0.8421
0.6199,-0.42495
6.8049,-2.0657
1.1562,-0.82958
2.9639,0.88398
4.9791,-1.9752
7.9804,-0.92713
4.1388,-0.77094
7.9241,-2.4208
1.8123,-2.6197
3.184,1.7524
5.5725,0.90087
0.51713,-0.49392
5.9813,1.578
3.3632,2.5891
6.4905,0.40974
3.0368,2.6256
2.5525,1.4486
7.8884,-2.8774
5.7454,-0.55388
3.3055,2.3267
0.78904,0.79368
5.8765,1.953
5.0985,-0.67001
0.59074,-0.423
0.96407,-0.11571
7.8528,-2.58
3.9744,-0.7507
0.17931,0.31687
0.43065,2.4031
1.127,-1.0875
7.1478,0.68809
3.7266,2.2914
4.4869,-2.9372
3.9557,0.52844
